2025-07-02 22:57:40,385 - INFO - server starting up
2025-07-03 23:24:57,279 - app - INFO - server starting up
2025-07-03 23:25:13,490 - app - INFO - [2025-07-03T23:25:13.490767] FSR: 1234, Voltage: 2.5, Resistance: 8900
2025-07-03 23:30:27,758 - app - INFO - [2025-07-03T23:30:27.757909] FSR: 1234, Voltage: 2.5, Resistance: 8900
2025-07-26 22:21:50,515 - app - INFO - server starting up
2025-07-26 22:30:51,539 - app - INFO - [2025-07-26T22:30:51.539923] FSR: 1234, Voltage: 2.5, Resistance: 8900
2025-07-26 22:34:34,241 - app - INFO - [2025-07-26T22:34:34.241213] FSR: 1234, Voltage: 2.5, Resistance: 8900
2025-07-26 22:44:14,545 - app - INFO - [2025-07-26T22:44:14.545952] FSR: 1234, Voltage: 2.5, Resistance: 8900
2025-07-26 22:44:29,696 - app - INFO - [2025-07-26T22:44:29.696942] FSR: 1234, Voltage: 2.5, Resistance: 8900
2025-07-26 23:01:48,009 - app - INFO - server starting up
2025-07-26 23:01:53,457 - app - INFO - server starting up
2025-07-26 23:02:07,983 - app - INFO - server starting up
2025-07-26 23:11:20,054 - app - INFO - [2025-07-26T23:11:20.054636] FSR: N/A, Voltage: N/A, Resistance: N/A, Message: Wi-Fi connected and ready
2025-07-26 23:11:21,495 - app - INFO - [2025-07-26T23:11:21.494966] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:22,628 - app - INFO - [2025-07-26T23:11:22.628604] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:24,165 - app - INFO - [2025-07-26T23:11:24.165893] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:25,385 - app - INFO - [2025-07-26T23:11:25.385378] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:26,669 - app - INFO - [2025-07-26T23:11:26.669118] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:27,949 - app - INFO - [2025-07-26T23:11:27.949539] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:29,275 - app - INFO - [2025-07-26T23:11:29.275085] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:30,600 - app - INFO - [2025-07-26T23:11:30.600040] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:32,040 - app - INFO - [2025-07-26T23:11:32.039948] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:11:33,365 - app - INFO - [2025-07-26T23:11:33.365137] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
